date_id,date,branch_id,material_id,tons_bought,price_per_ton
1,2024-01-01,1,1,2.94,962.33
1,2024-01-01,1,2,1.29,839.22
1,2024-01-01,1,3,0.65,447.63
1,2024-01-01,2,1,2.82,1049.25
1,2024-01-01,2,2,1.06,648.79
1,2024-01-01,2,3,1.28,491.86
1,2024-01-01,3,1,1.09,1046.83
1,2024-01-01,3,2,0.46,659.96
1,2024-01-01,3,3,0.29,576.66
2,2024-01-02,1,1,1.3,915.4
2,2024-01-02,1,2,0.54,663.62
2,2024-01-02,1,3,1.05,400.7
2,2024-01-02,2,1,1.28,981.67
2,2024-01-02,2,2,1.88,705.85
2,2024-01-02,2,3,0.15,378.96
2,2024-01-02,3,1,2.68,1012.36
2,2024-01-02,3,2,1.69,566.72
2,2024-01-02,3,3,0.57,463.97
3,2024-01-03,1,1,0.68,961.54
3,2024-01-03,1,2,0.43,833.64
3,2024-01-03,1,3,0.8,531.36
3,2024-01-03,2,1,2.02,995.5
3,2024-01-03,2,2,2.55,687.19
3,2024-01-03,2,3,1.21,370.88
3,2024-01-03,3,1,0.96,966.4
3,2024-01-03,3,2,1.83,551.44
3,2024-01-03,3,3,0.51,573.83
4,2024-01-04,1,1,6.91,1087.88
4,2024-01-04,1,2,1.79,685.04
4,2024-01-04,1,3,0.87,537.89
4,2024-01-04,2,1,3.67,957.06
4,2024-01-04,2,2,0.69,801.31
4,2024-01-04,2,3,1.01,484.57
4,2024-01-04,3,1,2.5,989.79
4,2024-01-04,3,2,0.6,773.55
4,2024-01-04,3,3,0.78,460.25
5,2024-01-05,1,1,9.62,1138.45
5,2024-01-05,1,2,0.81,775.64
5,2024-01-05,1,3,1.18,508.09
5,2024-01-05,2,1,2.08,987.98
5,2024-01-05,2,2,0.57,648.17
5,2024-01-05,2,3,0.81,566.81
5,2024-01-05,3,1,0.64,1069.4
5,2024-01-05,3,2,2.15,587.53
5,2024-01-05,3,3,0.58,553.8
6,2024-01-06,1,1,2.67,1018.67
6,2024-01-06,1,2,0.47,644.76
6,2024-01-06,1,3,0.82,496.79
6,2024-01-06,2,1,2.7,1053.27
6,2024-01-06,2,2,2.8,597.41
6,2024-01-06,2,3,0.98,608.43
6,2024-01-06,3,1,4.21,1050.4
6,2024-01-06,3,2,0.13,663.69
6,2024-01-06,3,3,0.33,636.31
7,2024-01-07,1,1,3.31,1045.55
7,2024-01-07,1,2,2.96,593.46
7,2024-01-07,1,3,1.0,435.35
7,2024-01-07,2,1,2.57,848.68
7,2024-01-07,2,2,2.35,587.16
7,2024-01-07,2,3,1.84,452.68
7,2024-01-07,3,1,2.08,956.74
7,2024-01-07,3,2,0.66,614.27
7,2024-01-07,3,3,0.4,629.99
8,2024-01-08,1,1,3.43,941.06
8,2024-01-08,1,2,3.45,675.01
8,2024-01-08,1,3,1.29,471.1
8,2024-01-08,2,1,3.5,916.41
8,2024-01-08,2,2,3.13,585.51
8,2024-01-08,2,3,1.46,570.15
8,2024-01-08,3,1,2.58,981.74
8,2024-01-08,3,2,1.83,627.83
8,2024-01-08,3,3,0.9,568.3
9,2024-01-09,1,1,1.06,908.6
9,2024-01-09,1,2,1.64,704.98
9,2024-01-09,1,3,0.32,434.37
9,2024-01-09,2,1,5.7,1051.45
9,2024-01-09,2,2,0.73,772.45
9,2024-01-09,2,3,1.51,479.36
9,2024-01-09,3,1,4.23,957.53
9,2024-01-09,3,2,1.37,749.55
9,2024-01-09,3,3,0.6,525.22
10,2024-01-10,1,1,1.3,1033.96
10,2024-01-10,1,2,2.48,685.05
10,2024-01-10,1,3,1.68,461.44
10,2024-01-10,2,1,2.44,1017.67
10,2024-01-10,2,2,1.24,722.53
10,2024-01-10,2,3,1.26,441.44
10,2024-01-10,3,1,0.69,926.35
10,2024-01-10,3,2,2.02,649.44
10,2024-01-10,3,3,0.94,418.82
11,2024-01-11,1,1,3.58,1058.39
11,2024-01-11,1,2,2.55,714.25
11,2024-01-11,1,3,1.08,568.0
11,2024-01-11,2,1,5.76,969.1
11,2024-01-11,2,2,2.17,739.87
11,2024-01-11,2,3,1.1,534.9
11,2024-01-11,3,1,2.21,1028.77
11,2024-01-11,3,2,1.73,803.4
11,2024-01-11,3,3,0.18,452.42
12,2024-01-12,1,1,10.65,1159.17
12,2024-01-12,1,2,1.89,708.42
12,2024-01-12,1,3,1.35,365.25
12,2024-01-12,2,1,0.35,1021.16
12,2024-01-12,2,2,2.88,764.93
