date_id,date,branch_id,material_id,tons_sold,price_per_ton
1,2024-01-01,1,1,3.26,1771.54
1,2024-01-01,1,2,0.52,988.86
1,2024-01-01,1,3,1.4,849.86
1,2024-01-01,2,1,2.48,1855.33
1,2024-01-01,2,2,0.81,1112.92
1,2024-01-01,2,3,1.18,733.66
1,2024-01-01,3,1,0.59,1855.69
1,2024-01-01,3,2,0.11,1183.4
1,2024-01-01,3,3,0.1,920.85
2,2024-01-02,1,1,2.41,1639.82
2,2024-01-02,1,2,2.6,1120.06
2,2024-01-02,1,3,0.82,753.89
2,2024-01-02,2,1,2.98,1798.1
2,2024-01-02,2,2,0.89,1216.93
2,2024-01-02,2,3,1.16,960.7
2,2024-01-02,3,1,1.97,1721.18
2,2024-01-02,3,2,1.15,1231.67
2,2024-01-02,3,3,0.01,757.31
3,2024-01-03,1,1,3.72,1481.97
3,2024-01-03,1,2,2.59,1172.97
3,2024-01-03,1,3,1.38,656.87
3,2024-01-03,2,1,3.88,1512.2
3,2024-01-03,2,2,0.53,1282.52
3,2024-01-03,2,3,0.56,931.89
3,2024-01-03,3,1,3.1,1718.32
3,2024-01-03,3,2,0.84,1111.18
3,2024-01-03,3,3,0.49,801.54
4,2024-01-04,1,1,5.04,1557.2
4,2024-01-04,1,2,0.24,1110.77
4,2024-01-04,1,3,0.83,840.66
4,2024-01-04,2,1,0.92,1746.69
4,2024-01-04,2,2,1.51,1265.18
4,2024-01-04,2,3,0.61,787.1
4,2024-01-04,3,1,2.32,1876.13
4,2024-01-04,3,2,0.33,1012.53
4,2024-01-04,3,3,0.17,846.56
5,2024-01-05,1,1,0.4,1841.57
5,2024-01-05,1,2,2.82,1277.55
5,2024-01-05,1,3,0.55,835.97
5,2024-01-05,2,1,0.62,1595.07
5,2024-01-05,2,2,1.03,1239.61
5,2024-01-05,2,3,0.67,811.08
5,2024-01-05,3,1,4.21,1492.82
5,2024-01-05,3,2,1.39,1110.77
5,2024-01-05,3,3,0.29,788.9
6,2024-01-06,1,1,1.65,1570.14
6,2024-01-06,1,2,1.56,1004.94
6,2024-01-06,1,3,0.14,771.94
6,2024-01-06,2,1,0.58,1821.23
6,2024-01-06,2,2,0.94,1090.22
6,2024-01-06,2,3,0.11,845.35
6,2024-01-06,3,1,3.3,1659.92
6,2024-01-06,3,2,0.73,1184.07
6,2024-01-06,3,3,0.25,659.12
7,2024-01-07,1,1,3.68,1510.99
7,2024-01-07,1,2,1.97,947.88
7,2024-01-07,1,3,0.9,654.57
7,2024-01-07,2,1,4.15,1530.98
7,2024-01-07,2,2,1.53,1187.13
7,2024-01-07,2,3,0.91,760.51
7,2024-01-07,3,1,3.0,1860.29
7,2024-01-07,3,2,0.64,1168.63
7,2024-01-07,3,3,0.03,948.71
8,2024-01-08,1,1,1.51,1665.05
8,2024-01-08,1,2,0.9,1109.62
8,2024-01-08,1,3,0.59,815.63
8,2024-01-08,2,1,2.64,1880.44
8,2024-01-08,2,2,0.75,1263.15
8,2024-01-08,2,3,1.11,711.17
8,2024-01-08,3,1,0.64,1293.25
8,2024-01-08,3,2,0.03,1200.63
8,2024-01-08,3,3,0.02,824.35
9,2024-01-09,1,1,4.46,1739.85
9,2024-01-09,1,2,0.89,1194.74
9,2024-01-09,1,3,0.76,706.8
9,2024-01-09,2,1,4.37,1634.52
9,2024-01-09,2,2,0.93,1115.65
9,2024-01-09,2,3,1.11,830.04
9,2024-01-09,3,1,0.78,1499.65
9,2024-01-09,3,2,0.66,1133.65
9,2024-01-09,3,3,0.52,769.52
10,2024-01-10,1,1,3.04,1452.16
10,2024-01-10,1,2,0.71,933.26
10,2024-01-10,1,3,1.41,920.29
10,2024-01-10,2,1,4.6,1410.18
10,2024-01-10,2,2,1.41,1098.67
10,2024-01-10,2,3,0.72,772.96
10,2024-01-10,3,1,4.1,1563.13
10,2024-01-10,3,2,0.53,1204.39
10,2024-01-10,3,3,0.26,776.13
11,2024-01-11,1,1,4.4,1693.21
11,2024-01-11,1,2,3.04,1273.75
11,2024-01-11,1,3,0.75,706.52
11,2024-01-11,2,1,4.48,1532.6
11,2024-01-11,2,2,0.83,1085.51
11,2024-01-11,2,3,1.03,811.02
11,2024-01-11,3,1,2.21,1469.54
11,2024-01-11,3,2,1.37,1144.24
11,2024-01-11,3,3,0.41,841.99
12,2024-01-12,1,1,0.77,1752.94
12,2024-01-12,1,2,2.71,1101.86
